codigo_municipio,departamento,municipio,poblacion,hogares,pct_hogar_rural,pct_hogar_indigena,NBI
1803,Izabal,El Estor,88744,13845,69.27,91.87,77
1804,Izabal,Morales,114491,24458,74.8,2.63,38
1805,Izabal,Los Amates,69094,13937,91.31,1.87,39
1901,Zacapa,Zacapa,70239,15235,0.04,2.46,54
1902,Zacapa,Estanzuela,11026,2518,18.11,1.49,29
1903,Zacapa,Río Hondo,25323,5825,69.46,1.03,22
1904,Zacapa,Gualán,51415,10927,84.27,1.29,35
1905,Zacapa,Teculután,21591,4459,67.84,1.25,27
1906,Zacapa,Usumatlán,14046,3069,61.78,1.11,32
1907,Zacapa,Cabañas,15665,3351,41.45,0.6,45
1908,Zacapa,San Diego,8098,1686,88.97,0.86,27
1909,Zacapa,La Unión,39641,6756,91.16,8.24,54
1910,Zacapa,Huité,12441,2714,66.4,1.28,58
1911,Zacapa,San Jorge,14303,2892,68.67,0.83,45
2001,Chiquimula,Chiquimula,127235,25038,0,1.09,62
2002,Chiquimula,San José La Arada,9564,2232,66.26,1.91,48
2003,Chiquimula,San Juan Ermita,20101,3677,96,32.26,63
2004,Chiquimula,Jocotán,80687,12551,85.42,80.4,84
2005,Chiquimula,Camotán,64146,10763,98.52,64.65,78
2006,Chiquimula,Olopa,31995,5679,89.24,51.95,76
2007,Chiquimula,Esquipulas,59053,12578,63.36,3.32,36
2008,Chiquimula,Concepción Las Minas,12813,3106,89.79,0.53,22
2009,Chiquimula,Quezaltepeque,31668,6688,92.15,0.9,45
2010,Chiquimula,San Jacinto,13891,2876,92.59,0.41,85
2011,Chiquimula,Ipala,25209,5729,72.98,0.91,25
2101,Jalapa,Jalapa,202833,33416,0,50.41,67
2102,Jalapa,San Pedro Pinula,83536,12101,84.27,10.63,66
2103,Jalapa,San Luis Jilotepeque,28560,6107,52.66,65.25,42
2104,Jalapa,San Manuel Chaparrón,9558,2205,59.41,0.84,27
2105,Jalapa,San Carlos Alzatate,23200,3572,53.61,94.12,65
2106,Jalapa,Monjas,34239,6625,50.31,2.9,26
2107,Jalapa,Mataquescuintla,50621,9442,75.48,30.97,44
2201,Jutiapa,Jutiapa,173744,32507,0,35.9,71
2202,Jutiapa,El Progreso,27148,5729,55.65,1.81,13
2203,Jutiapa,Santa Catarina Mita,33527,7609,49.13,5.73,25
2204,Jutiapa,Agua Blanca,18663,4353,75.42,4.04,26
2205,Jutiapa,Asunción Mita,56200,12705,55.57,3.47,23
2206,Jutiapa,Yupiltepeque,18878,3962,81.98,23.35,48
2207,Jutiapa,Atescatempa,21077,4942,45,3.79,35
2208,Jutiapa,Jerez,7312,1869,38.31,3.82,27
2209,Jutiapa,El Adelanto,8631,1474,62.62,12.54,60
2210,Jutiapa,Zapotitlán,11037,2049,75.16,18.3,58
2211,Jutiapa,Comapa,38579,7086,85.93,12.86,59
2212,Jutiapa,Jalpatagua,32611,7091,63.94,9.99,36
2213,Jutiapa,Conguaco,31429,4491,86.48,51.08,72
2214,Jutiapa,Moyuta,51456,9589,81.41,20.02,41
2215,Jutiapa,Pasaco,11562,2143,76.15,0.81,42
2216,Jutiapa,San José Acatempa,14240,3580,59.11,1.49,29
2217,Jutiapa,Quesada,24595,5588,87.58,41.44,25
